rank,algorithm,complexity,matrix_size,elapsed_ns,elapsed_ms,elapsed_s,heap_used_MB,status,error
1,NaivOnArray,O(n^3),2048,104355404000,104355.404,104.355,162,OK,
2,NaivIKJ,O(n^3),2048,10669760300,10669.760,10.670,194,OK,
3,NaivKIJ,O(n^3),2048,20216969200,20216.969,20.217,229,OK,
4,NaivJIK,O(n^3),2048,99008650800,99008.651,99.009,101,OK,
5,TransposedNaiv,O(n^3),2048,12286199100,12286.199,12.286,165,OK,
6,BlockMatrix(B=64),O(n^3),2048,20366342400,20366.342,20.366,197,OK,
7,NaivLoopUnrollingTwo,O(n^3),2048,97977736200,97977.736,97.978,229,OK,
8,NaivLoopUnrollingFour,O(n^3),2048,97041970800,97041.971,97.042,261,OK,
9,NaivLoopUnrollingEight,O(n^3),2048,12873719600,12873.720,12.874,293,OK,
10,WinogradOriginal,O(n^3),2048,89395009700,89395.010,89.395,100,OK,
11,WinogradScaled,O(n^3),2048,94860944900,94860.945,94.861,228,OK,
12,RecursiveDivideConquer,O(n^3),2048,11431814100,11431.814,11.432,580,OK,
13,StrassenNaiv,O(n^2.807),2048,10344054000,10344.054,10.344,579,OK,
14,StrassenWinograd,O(n^2.807),2048,7576919100,7576.919,7.577,951,OK,
15,ParallelNaiv(threads=11),O(n^3),2048,3548695800,3548.696,3.549,1027,OK,
16,"ParallelBlock(B=64,threads=11)",O(n^3),2048,3234433500,3234.434,3.234,1059,OK,
